metro_area_name,population,income,cbsa_code,taskrabbit_active,dolly_active,goshare_active,lugg_active,total_competitors,lugg_status,market_attractiveness,competition_opportunity,expansion_score,estimated_annual_revenue,data_source
"Poughkeepsie-Newburgh-Middletown, NY Metro Area",697704.0,92870.0,39100.0,0,0,0,0,0,Expansion Target,71.92523364485982,100.0,83.15514018691589,419000.0,uncovered_opportunity
"Grand Rapids-Kentwood, MI Metro Area",1087068.0,76898.0,24340.0,0,0,0,0,0,Expansion Target,71.53271028037383,100.0,82.9196261682243,652000.0,uncovered_opportunity
"Madison, WI Metro Area",678995.0,82996.0,31540.0,0,0,0,0,0,Expansion Target,67.62616822429906,100.0,80.57570093457943,407000.0,uncovered_opportunity
"Riverside-San Bernardino-Ontario, CA Metro Area",4610050.0,81041.0,40140.0,0,0,1,0,1,Expansion Target,84.25233644859813,75.0,80.55140186915887,2766000.0,competitor_mapped
"Portland-South Portland, ME Metro Area",552916.0,84095.0,38860.0,0,0,0,0,0,Expansion Target,65.69470404984423,100.0,79.41682242990655,332000.0,uncovered_opportunity
"Urban Honolulu, HI Metro Area",1010100.0,99816.0,46520.0,1,0,0,0,1,Expansion Target,82.1246105919003,75.0,79.27476635514017,606000.0,competitor_mapped
"Lancaster, PA Metro Area",553202.0,81458.0,29540.0,0,0,0,0,0,Expansion Target,63.60747663551402,100.0,78.16448598130842,332000.0,uncovered_opportunity
"Manchester-Nashua, NH Metro Area",422733.0,95112.0,31700.0,0,0,0,0,0,Expansion Target,62.442367601246104,100.0,77.46542056074766,254000.0,uncovered_opportunity
"Anchorage, AK Metro Area",399335.0,93016.0,11260.0,0,0,0,0,0,Expansion Target,61.10280373831776,100.0,76.66168224299065,240000.0,uncovered_opportunity
"Harrisburg-Carlisle, PA Metro Area",593318.0,76189.0,25420.0,0,0,0,0,0,Expansion Target,59.90031152647975,100.0,75.94018691588785,356000.0,uncovered_opportunity
"San Juan-Bayamón-Caguas, PR Metro Area",2073546.0,26853.0,41980.0,0,0,0,0,0,Expansion Target,59.79750778816199,100.0,75.8785046728972,1244000.0,uncovered_opportunity
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",842009.0,102141.0,37100.0,0,0,1,0,1,Expansion Target,75.81931464174455,75.0,75.49158878504673,505000.0,competitor_mapped
"Greeley, CO Metro Area",331466.0,89182.0,24540.0,0,0,0,0,0,Expansion Target,57.95638629283489,100.0,74.77383177570093,199000.0,uncovered_opportunity
"Bremerton-Silverdale-Port Orchard, WA Metro Area",275411.0,93675.0,14740.0,0,0,0,0,0,Expansion Target,57.64485981308411,100.0,74.58691588785047,165000.0,uncovered_opportunity
"Fayetteville-Springdale-Rogers, AR Metro Area",550596.0,73316.0,22220.0,0,0,0,0,0,Expansion Target,55.570093457943926,100.0,73.34205607476636,330000.0,uncovered_opportunity
"York-Hanover, PA Metro Area",457051.0,79183.0,49620.0,0,0,0,0,0,Expansion Target,55.495327102803735,100.0,73.29719626168225,274000.0,uncovered_opportunity
"Albany-Schenectady-Troy, NY Metro Area",901729.0,83360.0,10580.0,0,0,1,0,1,Expansion Target,71.45794392523365,75.0,72.8747663551402,541000.0,competitor_mapped
"Kennewick-Richland, WA Metro Area",304252.0,82146.0,28420.0,0,0,0,0,0,Expansion Target,54.18691588785046,100.0,72.51214953271028,183000.0,uncovered_opportunity
"Palm Bay-Melbourne-Titusville, FL Metro Area",610723.0,71308.0,37340.0,0,0,0,0,0,Expansion Target,53.794392523364486,100.0,72.2766355140187,366000.0,uncovered_opportunity
"Norwich-New London, CT Metro Area",268448.0,84755.0,35980.0,0,0,0,0,0,Expansion Target,53.719626168224295,100.0,72.23177570093458,161000.0,uncovered_opportunity
"Stockton, CA Metro Area",779445.0,82837.0,44700.0,0,0,1,0,1,Expansion Target,69.30841121495327,75.0,71.58504672897196,468000.0,competitor_mapped
"Omaha-Council Bluffs, NE-IA Metro Area",966688.0,79634.0,36540.0,1,0,0,0,1,Expansion Target,69.05919003115265,75.0,71.43551401869159,580000.0,competitor_mapped
"Syracuse, NY Metro Area",658694.0,70096.0,45060.0,0,0,0,0,0,Expansion Target,51.95638629283489,100.0,71.17383177570093,395000.0,uncovered_opportunity
"Colorado Springs, CO Metro Area",755081.0,82334.0,17820.0,0,0,1,0,1,Expansion Target,68.40498442367601,75.0,71.0429906542056,453000.0,competitor_mapped
"Reading, PA Metro Area",428483.0,74617.0,39740.0,0,0,0,0,0,Expansion Target,50.54205607476635,100.0,70.32523364485981,257000.0,uncovered_opportunity
"Spokane-Spokane Valley, WA Metro Area",585485.0,69752.0,44060.0,0,0,0,0,0,Expansion Target,49.96261682242991,100.0,69.97757009345794,351000.0,uncovered_opportunity
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",863166.0,78597.0,10900.0,0,0,1,0,1,Expansion Target,66.50467289719626,75.0,69.90280373831774,518000.0,competitor_mapped
"Des Moines-West Des Moines, IA Metro Area",711490.0,81103.0,19780.0,1,0,0,0,1,Expansion Target,66.4423676012461,75.0,69.86542056074765,427000.0,competitor_mapped
"Sioux Falls, SD Metro Area",277944.0,78552.0,43620.0,0,0,0,0,0,Expansion Target,49.638629283489095,100.0,69.78317757009346,167000.0,uncovered_opportunity
"Burlington-South Burlington, VT Metro Area",225745.0,86183.0,15540.0,0,0,0,0,0,Expansion Target,48.84735202492212,100.0,69.30841121495327,135000.0,uncovered_opportunity
"Torrington, CT Micro Area",185765.0,89394.0,45860.0,0,0,0,0,0,Expansion Target,48.41121495327103,100.0,69.04672897196261,111000.0,uncovered_opportunity
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",676035.0,64197.0,19660.0,0,0,0,0,0,Expansion Target,48.280373831775705,100.0,68.96822429906543,406000.0,uncovered_opportunity
"Lakeland-Winter Haven, FL Metro Area",736229.0,60901.0,29460.0,0,0,0,0,0,Expansion Target,48.280373831775705,100.0,68.96822429906543,442000.0,uncovered_opportunity
