Metro Area,Population,Median Income,Competitors,Expansion Score,Est Annual Revenue
"Poughkeepsie-Newburgh-Middletown, NY Metro Area",697704.0,92870.0,0,83.15514018691589,419000.0
"Grand Rapids-Kentwood, MI Metro Area",1087068.0,76898.0,0,82.9196261682243,652000.0
"Madison, WI Metro Area",678995.0,82996.0,0,80.57570093457943,407000.0
"Riverside-San Bernardino-Ontario, CA Metro Area",4610050.0,81041.0,1,80.55140186915887,2766000.0
"Portland-South Portland, ME Metro Area",552916.0,84095.0,0,79.41682242990655,332000.0
"Urban Honolulu, HI Metro Area",1010100.0,99816.0,1,79.27476635514017,606000.0
"Lancaster, PA Metro Area",553202.0,81458.0,0,78.16448598130842,332000.0
"Manchester-Nashua, NH Metro Area",422733.0,95112.0,0,77.46542056074766,254000.0
"Anchorage, AK Metro Area",399335.0,93016.0,0,76.66168224299065,240000.0
"Harrisburg-Carlisle, PA Metro Area",593318.0,76189.0,0,75.94018691588785,356000.0
